phs,pht,phv,n,count_available
phs000007,pht007777,phv00370127,4649,True
phs000007,pht007777,phv00177934,11800,True
phs000007,pht007777,phv00370128,4283,True
phs000007,pht007777,phv00370129,4411,True
phs000007,pht007777,phv00370130,4289,True
phs000007,pht007777,phv00177940,7541,True
phs000007,pht007777,phv00370131,4130,True
phs000007,pht007777,phv00177942,7536,True
phs000007,pht007777,phv00370132,4052,True
phs000007,pht007777,phv00177944,6885,True
phs000007,pht007777,phv00370133,3894,True
phs000007,pht007777,phv00177946,6103,True
phs000007,pht007777,phv00370134,3704,True
phs000007,pht007777,phv00370135,3458,True
phs000007,pht007777,phv00370136,2830,True
phs000007,pht007777,phv00370137,3135,True
phs000007,pht007777,phv00370138,3003,True
phs000007,pht007777,phv00370139,2715,True
phs000007,pht007777,phv00370140,2455,True
phs000007,pht007777,phv00370141,2198,True
phs000007,pht007777,phv00370142,1964,True
phs000007,pht007777,phv00370143,1636,True
phs000007,pht007777,phv00370144,1410,True
phs000007,pht007777,phv00370145,1203,True
phs000007,pht007777,phv00370146,1022,True
phs000007,pht007777,phv00370147,868,True
phs000007,pht007777,phv00370148,848,True
phs000007,pht007777,phv00370149,644,True
phs000007,pht007777,phv00370150,613,True
phs000007,pht007777,phv00370151,521,True
phs000007,pht007777,phv00370152,403,True
phs000007,pht007777,phv00370153,295,True
phs000007,pht007777,phv00370154,206,True
phs000007,pht007777,phv00370155,138,True
phs000007,pht007777,phv00370156,86,True
phs000007,pht007777,phv00370157,39,True
phs000007,pht009761,phv00423945,5468,True
phs000007,pht009761,phv00423946,4131,True
phs000007,pht009761,phv00423947,4002,True
phs000007,pht009761,phv00423948,4171,True
phs000007,pht009761,phv00177938,8169,True
phs000007,pht009761,phv00544874,3828,True
phs000007,pht009761,phv00177940,7541,True
phs000007,pht009761,phv00544875,3384,True
phs000007,pht009761,phv00177942,7536,True
phs000007,pht009761,phv00544876,3437,True
phs000007,pht009761,phv00177944,6885,True
phs000007,pht009761,phv00544877,2969,True
phs000007,pht009761,phv00177946,6103,True
phs000007,pht009761,phv00544878,2391,True
phs000007,pht009761,phv00177948,4936,True
phs000007,pht009761,phv00544879,1206,True
phs000007,pht000031,phv00008097,3580,True
phs000007,pht000030,phv00007564,4766,True
phs000007,pht000031,phv00008090,3589,True
phs000007,pht001045,phv00081026,1012,True
phs000007,pht002889,phv00172167,3731,True
phs000007,pht004802,phv00227051,2508,True
phs000007,pht005144,phv00177930,15089,True
phs000007,pht005144,phv00255363,972,True
phs000007,pht000035,phv00009905,3400,True
phs000007,pht000035,phv00009906,3399,True
phs000007,pht000036,phv00010360,3464,True
phs000007,pht000036,phv00010361,3460,True
phs000007,pht000074,phv00021092,4036,True
phs000007,pht000074,phv00021093,4026,True
phs000007,pht000692,phv00070375,297,True
phs000007,pht000692,phv00070376,297,True
phs000007,pht000747,phv00072138,2972,True
phs000007,pht000747,phv00072139,2969,True
phs000007,pht003094,phv00177352,3744,True
phs000007,pht003094,phv00177354,3741,True
phs000007,pht004814,phv00250915,388,True
phs000007,pht004814,phv00250916,387,True
phs000007,pht004815,phv00251341,285,True
phs000007,pht004815,phv00251342,285,True
phs000007,pht005140,phv00254087,2675,True
phs000007,pht005140,phv00254089,2675,True
phs000007,pht005141,phv00254610,213,True
phs000007,pht005141,phv00254611,213,True
phs000007,pht005142,phv00255001,135,True
phs000007,pht005142,phv00255003,135,True
phs000007,pht006005,phv00273914,101,True
phs000007,pht006005,phv00273915,101,True
phs000007,pht006006,phv00177930,15089,True
phs000007,pht006006,phv00566077,404,True
phs000007,pht006006,phv00566078,404,True
phs000007,pht006007,phv00274721,88,True
phs000007,pht006007,phv00274723,88,True
phs000007,pht006008,phv00227008,40,True
phs000007,pht006008,phv00275078,40,True
phs000007,pht006008,phv00275080,39,True
phs000007,pht010724,phv00177934,11800,True
phs000007,pht010724,phv00461869,3462,True
phs000007,pht010724,phv00461870,3459,True
phs000007,pht015104,phv00177938,8169,True
phs000007,pht015104,phv00177948,4936,True
phs000007,pht015104,phv00545293,1372,True
phs000007,pht015104,phv00545294,1368,True
phs000007,pht007777,phv00369839,5079,True
phs000007,pht007777,phv00370031,5079,True
phs000007,pht007777,phv00369840,4671,True
phs000007,pht007777,phv00370032,4671,True
phs000007,pht007777,phv00369841,4298,True
phs000007,pht007777,phv00370033,4298,True
phs000007,pht007777,phv00369842,4421,True
phs000007,pht007777,phv00370034,4421,True
phs000007,pht007777,phv00369843,4303,True
phs000007,pht007777,phv00370035,4303,True
phs000007,pht007777,phv00369844,4138,True
phs000007,pht007777,phv00370036,4138,True
phs000007,pht007777,phv00369845,4064,True
phs000007,pht007777,phv00370037,4064,True
phs000007,pht007777,phv00369846,3906,True
phs000007,pht007777,phv00370038,3906,True
phs000007,pht007777,phv00369847,3709,True
phs000007,pht007777,phv00370039,3710,True
phs000007,pht007777,phv00369848,3473,True
phs000007,pht007777,phv00370040,3473,True
phs000007,pht007777,phv00369849,2826,True
phs000007,pht007777,phv00370041,2826,True
phs000007,pht007777,phv00369850,3138,True
phs000007,pht007777,phv00370042,3138,True
phs000007,pht007777,phv00369851,3010,True
phs000007,pht007777,phv00370043,3010,True
phs000007,pht007777,phv00369852,2749,True
phs000007,pht007777,phv00370044,2749,True
phs000007,pht007777,phv00369853,2504,True
phs000007,pht007777,phv00370045,2505,True
phs000007,pht007777,phv00369854,2233,True
phs000007,pht007777,phv00370046,2233,True
phs000007,pht007777,phv00369855,2021,True
phs000007,pht007777,phv00370047,2021,True
phs000007,pht007777,phv00369856,1722,True
phs000007,pht007777,phv00370048,1723,True
phs000007,pht007777,phv00369857,1437,True
phs000007,pht007777,phv00370049,1439,True
phs000007,pht007777,phv00369858,1300,True
phs000007,pht007777,phv00370050,1301,True
phs000007,pht007777,phv00369859,1210,True
phs000007,pht007777,phv00370051,1210,True
phs000007,pht007777,phv00369860,1058,True
phs000007,pht007777,phv00370052,1059,True
phs000007,pht007777,phv00369861,910,True
phs000007,pht007777,phv00370053,912,True
phs000007,pht007777,phv00369862,539,True
phs000007,pht007777,phv00370054,539,True
phs000007,pht007777,phv00369863,662,True
phs000007,pht007777,phv00370055,665,True
phs000007,pht007777,phv00369864,533,True
phs000007,pht007777,phv00370056,538,True
phs000007,pht007777,phv00369865,407,True
phs000007,pht007777,phv00370057,407,True
phs000007,pht007777,phv00369866,297,True
phs000007,pht007777,phv00370058,297,True
phs000007,pht007777,phv00369867,213,True
phs000007,pht007777,phv00370059,213,True
phs000007,pht007777,phv00369868,135,True
phs000007,pht007777,phv00370060,135,True
phs000007,pht007777,phv00369869,88,True
phs000007,pht007777,phv00370061,88,True
phs000007,pht007777,phv00369870,39,True
phs000007,pht007777,phv00370062,40,True
phs000007,pht009761,phv00423902,5459,True
phs000007,pht009761,phv00423925,5459,True
phs000007,pht009761,phv00423903,4131,True
phs000007,pht009761,phv00423926,4132,True
phs000007,pht009761,phv00423904,4038,True
phs000007,pht009761,phv00423927,4039,True
phs000007,pht009761,phv00423905,4179,True
phs000007,pht009761,phv00423928,4181,True
phs000007,pht009761,phv00544784,3845,True
phs000007,pht009761,phv00544844,3845,True
phs000007,pht009761,phv00544785,3399,True
phs000007,pht009761,phv00544845,3400,True
phs000007,pht009761,phv00544786,3462,True
phs000007,pht009761,phv00544846,3464,True
phs000007,pht009761,phv00544787,2971,True
phs000007,pht009761,phv00544847,2972,True
phs000007,pht009761,phv00544788,2389,True
phs000007,pht009761,phv00544848,2389,True
phs000007,pht009761,phv00544789,1202,True
phs000007,pht009761,phv00544849,1205,True
phs000007,pht006026,phv00277034,4538,True
phs000007,pht006026,phv00277045,4541,True
phs000007,pht006026,phv00277035,3743,True
phs000007,pht006026,phv00277046,3744,True
phs000007,pht006026,phv00520296,3461,True
phs000007,pht006026,phv00520305,3462,True
phs000007,pht006026,phv00277024,4536,True
phs000007,pht006026,phv00277025,3741,True
phs000007,pht006026,phv00520291,3453,True
phs000007,pht007777,phv00369740,5065,True
phs000007,pht007777,phv00369741,4399,True
phs000007,pht007777,phv00369742,4287,True
phs000007,pht007777,phv00369743,2778,True
phs000007,pht007777,phv00369744,1605,True
phs000007,pht007777,phv00369745,3124,True
phs000007,pht007777,phv00369746,3000,True
phs000007,pht007777,phv00369747,2706,True
phs000007,pht007777,phv00369748,2414,True
phs000007,pht007777,phv00369749,2189,True
phs000007,pht007777,phv00369750,1914,True
phs000007,pht007777,phv00369751,1570,True
phs000007,pht007777,phv00369752,1353,True
phs000007,pht007777,phv00369753,1164,True
phs000007,pht007777,phv00369754,1017,True
phs000007,pht007777,phv00369755,859,True
phs000007,pht007777,phv00369756,745,True
phs000007,pht007777,phv00369757,566,True
phs000007,pht007777,phv00369758,490,True
phs000007,pht007777,phv00369759,325,True
phs000007,pht007777,phv00369760,211,True
phs000007,pht007777,phv00369761,136,True
phs000007,pht007777,phv00369762,80,True
phs000007,pht007777,phv00369763,56,True
phs000007,pht007777,phv00369764,30,True
phs000007,pht007777,phv00369765,18,True
phs000007,pht009761,phv00423883,5464,True
phs000007,pht009761,phv00423884,4127,True
phs000007,pht009761,phv00423885,3990,True
phs000007,pht009761,phv00423886,4156,True
phs000007,pht009761,phv00544754,3815,True
phs000007,pht009761,phv00544755,3355,True
phs000007,pht009761,phv00544756,3269,True
phs000007,pht009761,phv00544757,2865,True
phs000007,pht009761,phv00544758,2251,True
phs000007,pht009761,phv00544759,1201,True
phs000007,pht000395,phv00056588,2915,True
phs000007,pht000397,phv00056833,785,True
phs000007,pht000393,phv00055159,3337,True
phs000007,pht000393,phv00177940,7541,True
phs000007,pht007776,phv00369624,588,True
phs000007,pht007776,phv00369625,499,True
phs000007,pht000030,phv00007559,4737,True
phs000007,pht000031,phv00008085,3599,True
phs000007,pht001045,phv00081023,1019,True
phs000007,pht006018,phv00276861,1047,True
phs000007,pht000144,phv00023194,2057,True
phs000007,pht000144,phv00177930,15089,True
phs000007,pht000144,phv00023195,2056,True
phs000007,pht000144,phv00023196,2069,True
phs000007,pht000145,phv00023200,1315,True
phs000007,pht000145,phv00177942,7536,True
phs000007,pht000145,phv00023201,1313,True
phs000007,pht000145,phv00023202,1400,True
phs000007,pht000147,phv00023235,322,True
phs000007,pht005161,phv00257670,2851,True
phs000007,pht000147,phv00023230,322,True
phs000007,pht005161,phv00257671,2851,True
phs000007,pht000083,phv00021728,3263,True
phs000007,pht000083,phv00177940,7541,True
phs000007,pht000083,phv00021729,3264,True
phs000007,pht000907,phv00076366,3246,True
phs000007,pht000907,phv00177940,7541,True
phs000007,pht000907,phv00076367,3201,True
phs000007,pht000083,phv00021702,3238,True
phs000007,pht000083,phv00021700,3245,True
phs000007,pht000160,phv00023792,126,True
phs000007,pht000172,phv00023899,18,True
phs000007,pht000031,phv00008103,3540,True
phs000007,pht001045,phv00081017,1018,True
phs000007,pht000009,phv00000543,5046,True
phs000007,pht000009,phv00000780,4295,True
phs000007,pht007777,phv00369809,2686,True
phs000007,pht007777,phv00369810,2008,True
phs000007,pht007777,phv00369811,21,True
phs000007,pht007777,phv00369812,4148,True
phs000007,pht007777,phv00369813,4105,True
phs000007,pht007777,phv00369814,3885,True
phs000007,pht007777,phv00369815,3745,True
phs000007,pht007777,phv00369816,3555,True
phs000007,pht007777,phv00369817,3323,True
phs000007,pht007777,phv00369818,1520,True
phs000007,pht007777,phv00369819,3050,True
phs000007,pht007777,phv00369820,2935,True
phs000007,pht007777,phv00369821,2686,True
phs000007,pht007777,phv00369822,2452,True
phs000007,pht007777,phv00369823,1993,True
phs000007,pht007777,phv00369824,1717,True
phs000007,pht007777,phv00369825,1434,True
phs000007,pht007777,phv00369826,1298,True
phs000007,pht007777,phv00369827,1207,True
phs000007,pht007777,phv00369828,1055,True
phs000007,pht007777,phv00369829,912,True
phs000007,pht007777,phv00369830,711,True
phs000007,pht007777,phv00369831,668,True
phs000007,pht007777,phv00369832,540,True
phs000007,pht007777,phv00369833,411,True
phs000007,pht007777,phv00369834,302,True
phs000007,pht007777,phv00369835,218,True
phs000007,pht007777,phv00369836,141,True
phs000007,pht007777,phv00369837,91,True
phs000007,pht007777,phv00369838,40,True
phs000007,pht012916,phv00177930,15089,True
phs000007,pht012916,phv00525298,9993,True
phs000007,pht012916,phv00177932,12547,True
phs000007,pht012916,phv00525299,7873,True
phs000007,pht012916,phv00177934,11800,True
phs000007,pht012916,phv00525300,7497,True
phs000007,pht012916,phv00177936,8603,True
phs000007,pht012916,phv00525301,4175,True
phs000007,pht012916,phv00177938,8169,True
phs000007,pht012916,phv00525302,3863,True
phs000007,pht012916,phv00177940,7541,True
phs000007,pht012916,phv00525303,3402,True
phs000007,pht012916,phv00177942,7536,True
phs000007,pht012916,phv00525304,3466,True
phs000007,pht012916,phv00177944,6885,True
phs000007,pht012916,phv00525305,2976,True
phs000007,pht012916,phv00177946,6103,True
phs000007,pht012916,phv00525306,2384,True
phs000007,pht012916,phv00177948,4936,True
phs000007,pht012916,phv00566385,1463,True
phs000007,pht003094,phv00177574,3721,True
phs000007,pht006005,phv00274134,101,True
phs000007,pht006005,phv00274135,101,True
